,Objective Question,Original Answer,Sub Ques 1 ,Label 1,Sub Ques 2,Label 2,Sub Ques 3,Label 3,,,,,,,,,,,,,,,,,,,
0,"In China during the 1980s, government efforts to adapt Western economic ideas resulted in?",increased trade with many industrialized nations,Where did government efforts to adapt Western economic ideas result in?,0,What did government efforts to adapt Western economic ideas result in in?,1,What resulted in in China during the 1980s?,0,,,,,,,,,,,,,,,,,,,
1,Thomas Jefferson argued that the First Amendment created a   wall of separation   between,church and state,Who argued that the First Amendment created a wall of separation between church and state?,1,What did Thomas Jefferson argue that the First Amendment created a wall of?,1,What did Thomas Jefferson argue that the First Amendment created?,1,,,,,,,,,,,,,,,,,,,
2,"One similarity in the leadership of Latin Americas Jose de San Martin, Toussaint l Ouverture, Bernanrdo O Higgins, and Pedro I was that each leader",led a struggle to gain freedom for the people of his nation,Who was Toussaint l?,0,What was Jose de San Martin?,0,Was Jose de San Martin Toussaint l?,0,,,,,,,,,,,,,,,,,,,
3,The justification for separation from England in the Declaration of Independence was basedheavily on the ideas of the English philosopher,John Locke,What was basedheavily on the ideas of the English philosopher John Locke?,1,What was the justification for separation from England in the Declaration of Independence basedheavily on?,1,Was the justification for separation from England in the Declaration of Independence basedheavily on the ideas of the English philosopher John Locke?,0,,,,,,,,,,,,,,,,,,,
4,Studies have documented that the earnings gap between low-skill workers and high-skill workers has,increased over the past two decades,When have studies documented that the earnings gap between low-skill workers and high-skill workers has increased?,0,What have documented that the earnings gap between low-skill workers and high-skill workers has increased over the past two decades?,0,When have studies documented?,0,,,,,,,,,,,,,,,,,,,
5,"To assess clients' abilities, a phrenologist would want to",examine their skulls,Who would want to examine clients ' abilities's skulls?,0,What would a phrenologist want to examine?,1,Would a phrenologist want to examine clients ' abilities's skulls?,1,,,,,,,,,,,,,,,,,,,
6,"In the original constitutional system,",each presidential elector cast two ballots and the top vote-getter was named president and the runner-up became vice president,How many ballots and the top vote-getter did each presidential elector cast was named president in the original constitutional system?,0,Who cast the runner-up became vice president in the original constitutional system?,0,Who did each presidential elector cast the runner-up became in the original constitutional system?,0,,,,,,,,,,,,,,,,,,,
7,Which action best illustrates Mohandas Gandhi s concept of civil disobedience?,citizens in the United States went to jail for violation segregation laws,Who went to jail for violation segregation laws?,1,What did citizens in the United States go to?,0,What illustrates Mohandas Gandhi?,0,,,,,,,,,,,,,,,,,,,
8,hearing loss caused when the eardrums or ossicles are damaged by disease or injury is called,conduction deafness,What is hearing loss caused when the eardrums or ossicles are damaged by disease or injury called?,1,What is called conduction deafness?,1,Is hearing loss caused when the eardrums or ossicles are damaged by disease or injury called conduction deafness?,0,,,,,,,,,,,,,,,,,,,
9,the   gray liberation   movement refers to,those fighting for the rights of the elderly,What does the gray liberation movement refer to?,1,What refers to those fighting for the rights of the elderly?,1,Does the gray liberation movement refer to those fighting for the rights of the elderly?,0,,,,,,,,,,,,,,,,,,,
10,"according to monetarists, making too much money available to borrow may lead to",inflation,What may making too much money available to borrow lead to?,1,What may lead to inflation?,1,May making too much money available to borrow lead to inflation?,0,,,,,,,,,,,,,,,,,,,
11,one of the characteristics that all sensory systems have in common is,transduction,What is one of the characteristics that all sensory systems have in common?,0,What is transduction?,1,Is one of the characteristics that all sensory systems have in common transduction?,0,,,,,,,,,,,,,,,,,,,
12,"""I believe Amanda's anxiety and defensiveness are the result of an unrealistic self-image and an inability to take responsibility for her feelings."" This statement would most likely have been made by a",humanistic psychologist,What would most likely have been made by a humanistic psychologist?,0,Who would this statement most likely have been made by?,0,Would this statement most likely have been made by a humanistic psychologist?,0,,,,,,,,,,,,,,,,,,,
13,the surest way to alter human consciousness is,to administer a psychoactive drug,What is to administer a psychoactive drug?,0,Is the surest way to alter human consciousness to administer a psychoactive drug?,0,,,,,,,,,,,,,,,,,,,,,
14,"in a market economy, scarcity of resources is reflected in",prices,What is reflected in prices in a market economy?,1,What is scarcity of resources reflected in in a market economy?,0,What is scarcity of resources reflected in prices in?,0,,,,,,,,,,,,,,,,,,,
15,"in terms of organizational structure, American political parties are",decentralized and fragmented,What are decentralized and fragmented in terms of organizational structure?,1,What are american political parties decentralized and fragmented in?,1,Are american political parties decentralized and fragmented in terms of organizational structure?,0,,,,,,,,,,,,,,,,,,,
16,Rhodesia Becomes Zimbabwe    Gold Coast Becomes Ghana,reflect traditional cultures,What do Rhodesia Becomes Zimbabwe Gold Coast Becomes Ghana reflect?,0,What reflect traditional cultures?,0,Do Rhodesia Becomes Zimbabwe Gold Coast Becomes Ghana reflect traditional cultures?,0,,,,,,,,,,,,,,,,,,,
17,"The Treaty of Tordesillas (1494), concerning Latin America, and the Berlin Conference (1884-1885), concerning Africa, were similar in that each agreement",divided each area into European-controlled segments,What were similar in that each agreement divided each area into European-controlled segments?,1,"Who were concerning Latin America, and the Berlin Conference?",0,Who concerned Africa?,0,,,,,,,,,,,,,,,,,,,
18,The federal civil service was created by,the Pendleton Act,What was created by the Pendleton Act?,1,What was the federal civil service created by?,0,Was the federal civil service created by the Pendleton Act?,0,,,,,,,,,,,,,,,,,,,
19,Which is one major reason the Holocaust is considered a unique event in modern European history?,The genocide was planned in great detail and required the cooperation of many people,What is one major reason the Holocaust is considered a unique event in modern European history?,1,What was required the cooperation of many people?,0,What was the genocide required the cooperation of?,0,,,,,,,,,,,,,,,,,,,
20,Muslims consider the  Qur\'an  the greatest written work in Arabic mainly because it?,is believed to be the word of  Allah,Who consider the Qur ` an the greatest written work in Arabic mainly because it?,0,Who do Muslims consider mainly because it?,0,Do Muslims consider the Qur ` an the greatest written work in Arabic mainly because it?,0,,,,,,,,,,,,,,,,,,,
21,Divided government exists when,the major parties do not control both chambers of the state legislature and a majority of state elected officials,What exists when the major parties do not control both chambers of the state legislature and a majority of state elected officials?,1,Does divided government exist when the major parties do not control both chambers of the state legislature and a majority of state elected officials?,0,,,,,,,,,,,,,,,,,,,,,
22,"A child knows that when you take yellow paint and then mix in blue paint, you get green paint. When you ask her what color paint you get if you take blue paint and then mix in yellow paint, she doesn't know. Her thinking lacks",reversibility,"Who knows that when you take yellow paint and then mix in blue paint, you get green paint?",1,What lacks reversibility?,1,"What does a child know that when you take yellow paint and then mix in blue paint, you get?",0,,,,,,,,,,,,,,,,,,,
23,"In India, the Caste System determined a person s occupation, personal associations, and marriage partner.  This situation shows that the Caste system",has been a way of life as well as an element of religion,"Where did the Caste System determine a person s occupation, personal associations, and marriage partner?",1,"Who did the Caste System determine s occupation, personal associations, and marriage partner in India?",0,"What determined a person s occupation, personal associations, and marriage partner in India?",1,,,,,,,,,,,,,,,,,,,
24,An influence that spread from the Byzantine Empire to Early Russia was the,Orthodox Christian religion,What was an influence that spread from the Byzantine Empire to Early Russia?,1,What was the Orthodox Christian religion?,1,Was an influence that spread from the Byzantine Empire to Early Russia the Orthodox Christian religion?,0,,,,,,,,,,,,,,,,,,,
