,Original Ques,Original Answer,PreProcessed Question,PreProcessed Answer,Subjective Question - 1,Subjective Question - 2,Subjective Question - 3,Marker,Label1,Label2,Label3
0,"In China during the 1980s, government efforts to adapt Western economic ideas resulted in?",increased trade with many industrialized nations,"In China during the 1980s, government efforts to adapt Western economic ideas resulted in?",increased trade with many industrialized nations,"In China during the 1980s, government efforts to adapt Western economic ideas resulted in?",,,,1,,
1,thomas Jefferson argued that the First Amendment created a   wall of separation   between,church and state,thomas Jefferson argued that the First Amendment created a   wall of separation   between,church and state,What did President Jefferson called a wall of separation between church and state?,The First Amendment created a wall of separation between what two entities?,Why did Jefferson believe that there needed to be a separation of church and state in the newly formed United States?,,0,1,0
2,"one similarity in the leadership of Latin Americas Jose de San Martin, Toussaint l Ouverture, Bernanrdo O Higgins, and Pedro I was that each leader",led a struggle to gain freedom for the people of his nation,"one similarity in the leadership of Latin Americas Jose de San Martin, Toussaint l Ouverture, Bernanrdo O Higgins, and Pedro I was that each leader",led a struggle to gain freedom for the people of his nation,How were the accomplishments of Simon Bolivar and Jose de San Martin similar?,What did each leader do?,What do Hidalgo Jose de San Martin and Simon Bolivar have in common?,,1,0,1
3,the justification for separation from England in the Declaration of Independence was basedheavily on the ideas of the English philosopher,John Locke,the justification for separation from England in the Declaration of Independence was basedheavily on the ideas of the English philosopher,John Locke,What were the main reasons for the Declaration of Independence?,What were the main reasons behind the Declaration of Independence?,What is Thomas Jefferson's justification for breaking from England?,,0,1,1
4,studies have documented that the earnings gap between low-skill workers and high-skill workers has,increased over the past two decades,studies have documented that the earnings gap between low-skill workers and high-skill workers has,increased over the past two decades,Has the earnings gap between low and high skilled workers increased or decreased over the past two decades?,How do worker skills and education affect income inequality?,Do skills matter for wage inequality?,,1,0,0
5,"to assess clients' abilities, a phrenologist would want to",examine their skulls,"to assess clients' abilities, a phrenologist would want to",examine their skulls,,,,RULE BASED,0,0,0
6,"in the original constitutional system,",each presidential elector cast two ballots and the top vote-getter was named president and the runner-up became vice president,"in the original constitutional system,",each presidential elector cast two ballots and the top vote-getter was named president and the runner-up became vice president,Who casts the electoral votes?,Who casts the official vote for president and vice president?,What happened to the top vote-getter?,,0,0,1
7,Which action best illustrates Mohandas Gandhi s concept of civil disobedience?,citizens in the United States went to jail for violation segregation laws,Which action best illustrates Mohandas Gandhi s concept of civil disobedience?,citizens in the United States went to jail for violation segregation laws,Which action best illustrates Mohandas Gandhi s concept of civil disobedience?,,,,1,,
8,hearing loss caused when the eardrums or ossicles are damaged by disease or injury is called,conduction deafness,hearing loss caused when the eardrums or ossicles are damaged by disease or injury is called,conduction deafness,What is hearing loss caused when the eardrums or ossicles are damaged by disease or injury called?,,,RULE BASED,1,0,0
9,the   gray liberation   movement refers to,those fighting for the rights of the elderly,the   gray liberation   movement refers to,those fighting for the rights of the elderly,,,,RULE BASED,0,0,0
10,"according to monetarists, making too much money available to borrow may lead to",inflation,"according to monetarists, making too much money available to borrow may lead to",inflation,,,,RULE BASED,0,0,0
11,one of the characteristics that all sensory systems have in common is,transduction,one of the characteristics that all sensory systems have in common is,transduction,What is one of the characteristics that all sensory systems have in common?,,,RULE BASED,1,1,0
12,"""I believe Amanda's anxiety and defensiveness are the result of an unrealistic self-image and an inability to take responsibility for her feelings."" This statement would most likely have been made by a",humanistic psychologist,"""I believe Amanda's anxiety and defensiveness are the result of an unrealistic self-image and an inability to take responsibility for her feelings."" This statement would most likely have been made by a",humanistic psychologist,How '' This statement would most likely have made `` I believe Amanda 's anxiety and defensiveness are the result of an unrealistic self-image and an inability to take responsibility for her feelings?,,,RULE BASED,0,0,0
13,the surest way to alter human consciousness is,to administer a psychoactive drug,the surest way to alter human consciousness is,to administer a psychoactive drug,What is the surest way to alter human consciousness?,,,RULE BASED,1,1,0
14,"in a market economy, scarcity of resources is reflected in",prices,"in a market economy, scarcity of resources is reflected in",prices,"in a market economyWhere is , scarcity of resources reflected?",,,RULE BASED,0,1,0
15,"in terms of organizational structure, American political parties are",decentralized and fragmented,"in terms of organizational structure, American political parties are",decentralized and fragmented,"in terms of organizational structure, what are American political parties?",,,RULE BASED,1,0,0
16,rhodesia Becomes Zimbabwe    Gold Coast Becomes Ghana,reflect traditional cultures,rhodesia Becomes Zimbabwe    Gold Coast Becomes Ghana,reflect traditional cultures,What was a major factor in the development of 20th century nationalist movements throughout Africa?,Which African country was the first to get its independence?,What does rhodesia do?,,0,0,1
17,"the Treaty of Tordesillas (1494), concerning Latin America, and the Berlin Conference (1884-1885), concerning Africa, were similar in that each agreement",divided each area into European-controlled segments,"the Treaty of Tordesillas (1494), concerning Latin America, and the Berlin Conference (1884-1885), concerning Africa, were similar in that each agreement",divided each area into European-controlled segments,What does the Treaty of Tordesillas and the Berlin Conference have in common?,What did the Treaty of Tordesillas do?,What was the main purpose of the Berlin Conference of 1884 1885?,,1,1,1
18,the federal civil service was created by,the Pendleton Act,the federal civil service was created by,the Pendleton Act,Who created the federal civil service?,,,RULE BASED,0,0,0
19,Which is one major reason the Holocaust is considered a unique event in modern European history?,The genocide was planned in great detail and required the cooperation of many people,Which is one major reason the Holocaust is considered a unique event in modern European history?,The genocide was planned in great detail and required the cooperation of many people,Which is one major reason the Holocaust is considered a unique event in modern European history?,,,,1,,
20,Muslims consider the  Qur\'an  the greatest written work in Arabic mainly because it?,is believed to be the word of  Allah,Muslims consider the  Qur\'an  the greatest written work in Arabic mainly because it?,is believed to be the word of  Allah,Muslims consider the  Qur\'an  the greatest written work in Arabic mainly because it?,,,,1,,
21,divided government exists when,the major parties do not control both chambers of the state legislature and a majority of state elected officials,divided government exists when,the major parties do not control both chambers of the state legislature and a majority of state elected officials,What does Divided Government refer to?,What is divided government quizlet?,What is a divided government quizlet?,,1,1,1
22,"A child knows that when you take yellow paint and then mix in blue paint, you get green paint. When you ask her what color paint you get if you take blue paint and then mix in yellow paint, she doesn't know. Her thinking lacks",reversibility,"A child knows that when you take yellow paint and then mix in blue paint, you get green paint. When you ask her what color paint you get if you take blue paint and then mix in yellow paint, she doesn't know. Her thinking lacks",reversibility,"A child knows that when you take yellow paint and then mix in blue paint, you get green paint. When you ask her what color paint you get if you take blue paint and then mix in yellow paint, she doesn't know. Her thinking lacks",,,,1,,
23,"in India, the Caste System determined a person s occupation, personal associations, and marriage partner.  This situation shows that the Caste system",has been a way of life as well as an element of religion,"in India, the Caste System determined a person s occupation, personal associations, and marriage partner.  This situation shows that the Caste system",has been a way of life as well as an element of religion,What has been a way of life as well as an element of religion in India?,,,,1,,
24,an influence that spread from the Byzantine Empire to Early Russia was the,Orthodox Christian religion,an influence that spread from the Byzantine Empire to Early Russia was the,Orthodox Christian religion,What was an influence that spread from the Byzantine Empire to Early Russia ?,,,RULE BASED,0,0,1
25,people in both Japan and India eat very little meat.  A study of these cultures would show that,"although these cultures have similar practices, the reasons for these practices differ",people in both Japan and India eat very little meat.  A study of these cultures would show that,"although these cultures have similar practices, the reasons for these practices differ",Why do people in Japan and India eat less meat?,,,,1,,
26,Which would represent the greatest loss to a professional wine taster or chef?,olfactory loss,Which would represent the greatest loss to a professional wine taster or chef?,olfactory loss,Which would represent the greatest loss to a professional wine taster or chef?,,,,1,,
27,"the earliest survey studies of the effect of the media on public opinion, which evaluated itsimpact on voting behavior, offered",the minimal effects hypothesis,"the earliest survey studies of the effect of the media on public opinion, which evaluated itsimpact on voting behavior, offered",the minimal effects hypothesis,What hypothesis did the earliest studies of the effect of media on public opinion offer?,,,,1,,
28,the rights of accused persons included in the Bill of Rights were originally intended to protectthe accused in,political arrests and trials,the rights of accused persons included in the Bill of Rights were originally intended to protectthe accused in,political arrests and trials,Where were the rights of accused persons included in the Bill of Rights originally intended to protectthe accused?,,,RULE BASED,1,0,0
29,Which statement about women under Islam is CORRECT?,women were expected to be modest and to obey their fathers or husbands,Which statement about women under Islam is CORRECT?,women were expected to be modest and to obey their fathers or husbands,Which statement about women under Islam is CORRECT?,,,,1,,
30,retreat from reality by hallucinations and delusions and by social withdrawal typically characterizes,psychotic disorders,retreat from reality by hallucinations and delusions and by social withdrawal typically characterizes,psychotic disorders,What is a psychotic disorder characterized by withdrawal from reality?,What is the term that refers to a withdrawal from reality marked by hallucinations and delusions disturbed thoughts and emotions and personality disorganization?,What is the term that refers to a withdrawal from reality marked by hallucinations and delusions distorted thoughts and emotions and personality disorganization?,,1,1,1
31,the three techniques used for brainwashing identified by McConnell are,"isolation, dependency, and reward",the three techniques used for brainwashing identified by McConnell are,"isolation, dependency, and reward",What are the three techniques used for brainwashing identified by McConnell?,,,RULE BASED,1,1,0
32,language is termed productive if it,is capable of generating new ideas and possibilities,language is termed productive if it,is capable of generating new ideas and possibilities,What is productive language quizlet?,Is language capable of generating new ideas and possibilities?,What is productive language psychology?,,1,0,1
33,"according to Gould, a ""crisis of questions, "" where an individual ponders the meaning of life, occurs during",early adulthood,"according to Gould, a ""crisis of questions, "" where an individual ponders the meaning of life, occurs during",early adulthood,"When does a ""crisis of questions"" occur?",,,,1,,
34,the relaxation of tensions between the United States and the Soviet Union throughout the1970s was known asÂ´,detente,the relaxation of tensions between the United States and the Soviet Union throughout the1970s was known asÂ´,detente,What was the relaxation of tensions between the United States and the Soviet Union known as?,Which of the following refers to the relaxation of tensions between the Soviet Union and the United States?,In what ways did detente relax tensions in the Cold War between the Soviet Union and United States?,,1,1,0
35,the first and only place in which the idea of equality appears in the Constitution is in the,Fourteenth Amendment,the first and only place in which the idea of equality appears in the Constitution is in the,Fourteenth Amendment,Where is the first and only place in which the idea of equality appears in the Constitution ?,,,RULE BASED,1,0,0
36,goods and services produced and sold illegally are,excluded from GDP,goods and services produced and sold illegally are,excluded from GDP,What are goods and services produced and sold illegally?,,,RULE BASED,0,0,0
37,"In the 1930s, Manchuria became a symbol of Japan\'s?",desire for empire,"In the 1930s, Manchuria became a symbol of Japan\'s?",desire for empire,"In the 1930s, Manchuria became a symbol of Japan\'s?",,,,1,,
38,"prior to the 1980 s, the emphasis of the Five-Year Plans in the Soviet Union was on heavy industry.  One result was the",scarcity of consumer goods,"prior to the 1980 s, the emphasis of the Five-Year Plans in the Soviet Union was on heavy industry.  One result was the",scarcity of consumer goods,"prior to the 1980 s , the emphasis of the Five-Year Plans in the Soviet Union was on heavy industryWhat was  on heavy industry . One result?",,,RULE BASED,1,0,0
39,"to understand personality, trait theorists attempt to",classify traits and discover how they are related to behavior,"to understand personality, trait theorists attempt to",classify traits and discover how they are related to behavior,,,,RULE BASED,0,0,0
40,exorcism often involved,the use of physical torture,exorcism often involved,the use of physical torture,What type of torture is exorcism?,What is the definition Exorcist?,When did the last exorcism happen?,,1,0,0
41,Colonial officials often discouraged native peoples from?,practicing traditional customs and rituals,Colonial officials often discouraged native peoples from?,practicing traditional customs and rituals,Colonial officials often discouraged native peoples from?,,,,1,,
42,"the Magna Carta, the Glorious Revolution, and the writings of John Locke all contributed to Great Britain s development of",parliamentary democracy,"the Magna Carta, the Glorious Revolution, and the writings of John Locke all contributed to Great Britain s development of",parliamentary democracy,"The Magna Carta, the Glorious Revolution, and John Locke contributed to the development of what type of democracy?",,,,1,,
43,a supply curve slopes upward because,an increase in price gives producers incentive to supply a larger quantity,a supply curve slopes upward because,an increase in price gives producers incentive to supply a larger quantity,Why a supply curve slopes upward?,,,RULE BASED,1,0,0
44,"during the late 1980 s and early 1990 s, the Soviet Union experienced ethnic tensions that were most similar to those experienced by",Austria-Hungary in the late 19th century,"during the late 1980 s and early 1990 s, the Soviet Union experienced ethnic tensions that were most similar to those experienced by",Austria-Hungary in the late 19th century,"Howduring the late 1980 s and early 1990 s , the Soviet Union experienced ethnic tensions that were most similar to those?",,,RULE BASED,0,0,0
45,Cash crops are important to most African countries because these crops?,can be sold abroad to bring money into the country,Cash crops are important to most African countries because these crops?,can be sold abroad to bring money into the country,Cash crops are important to most African countries because these crops?,,,,1,,
46,a good that is produced abroad and sold domestically is called,an import,a good that is produced abroad and sold domestically is called,an import,What is a good that is produced abroad and sold domestically called?,,,RULE BASED,1,0,0
47,"When the loss from a business-stealing externality exceeds the gain from a product-variety externality,",there are likely to be too many firms in a monopolistically competitive market,"When the loss from a business-stealing externality exceeds the gain from a product-variety externality,",there are likely to be too many firms in a monopolistically competitive market,"When the loss from a business-stealing externality exceeds the gain from a product-variety externality,",,,,1,,
48,one similarity between the Five Pillars of Islam and the Ten Commandments is that both,provide a guide to proper ethical and moral behavior,one similarity between the Five Pillars of Islam and the Ten Commandments is that both,provide a guide to proper ethical and moral behavior,What describes a similarity between the five pillars of Islam and the Ten Commandments?,Are the pillars of Islam similar to the Ten Commandments?,What is one similarity between the five pillars of faith and the Ten Commandments?,,1,1,1
