Objective Question,Answer,Subjective Question #1,Label 1,Subjective Question #2,Label 2,Subjective Question #3,Label 3
the Indian constitution guarantees “Right to life” under,article 21,What guarantees ``Right to life'' under article 21?,1,What does the Indian constitution guarantee ``Right to life'' under?,0,What does the Indian constitution guarantee ``Right to'' under article 21?,0
a high-pitched sound has,a high frequency,What has a high frequency?,0,What does a high-pitched sound have?,1,Does a high-pitched sound have a high frequency?,0
a rocket has a special streamlined body so as to,reduce air friction,What has a special streamlined body so as to reduce air friction?,1,What does a rocket have so as to reduce air friction?,1,Does a rocket have a special streamlined body so as to reduce air friction?,0
secretion of large amount of acid in the stomach causes indigestion. It can be relieved by taking,magnesium hydroxide,What can be relieved by taking magnesium hydroxide?,0,What causes indigestion?,1,What does secretion of large amount of acid in the stomach cause?,1
people in the Ladakh region domesticate sheep to produce,pashmina wool,What do people in the Ladakh region domesticate to produce pashmina wool?,1,What domesticate sheep to produce pashmina wool?,0,What do people in the Ladakh region domesticate sheep to produce?,0
ingredients of a chapatti include,"wheat flour, salt and water",What do ingredients of a chapatti include?,1,"What include wheat flour, salt and water?",0,"Do ingredients of a chapatti include wheat flour, salt and water?",0
a cardboard piece is an example of a/an,opaque object,What is an example of a\/an opaque object?,1,What is a cardboard piece an example of?,1,What is a cardboard piece?,0
cell was first discovered by,robert Hooke,What was first discovered by robert Hooke?,1,Who was cell first discovered by?,1,Was cell first discovered by robert Hooke?,1
many birds from various countries migrate to India due to suitable climatic conditions. The migration is usually associated with,winter,Where do many birds from various countries migrate due to suitable climatic conditions?,0,What do many birds from various countries migrate to due to suitable climatic conditions?,0,What migrate to India due to suitable climatic conditions?,0
"in Southern India, the British observed that there was a lack of the traditional",zamindari,Where did the British observe that there was a lack of the traditional zamindari?,1,Who observed that there was a lack of the traditional zamindari in Southern India?,1,Who did the British observe that there was a lack of in Southern India?,0
mark the correct initiative that can be taken by the government for maintaining the clean environment,fine those who pollute the environment,,0,,0,,0
bethlehem is the birth place of,jesus Christ,What is the birth place of jesus Christ?,1,Who is bethlehem the birth place of?,0,What is bethlehem?,0
the sponge has a,larger volume than the gold,What has a larger volume than the gold?,0,What does the sponge have?,0,Does the sponge have a larger volume than the gold?,0
a car slips on a wet road because the friction,decreases,What slips on a wet road because the friction decreases?,0,What does a car slip on because the friction decreases?,0,Does a car slip on a wet road because the friction decreases?,1
images of organ inside the body can be formed by the use of,ultrasonics,What can be formed by the use of ultrasonics?,1,What can images of organ inside the body be formed by?,1,Can images of organ inside the body be formed by the use of ultrasonics?,1
"in solar eclipse,",the shadow of the moon falls on the earth,What falls on the earth in solar eclipse?,0,What does the shadow of the moon fall on in solar eclipse?,1,What does the shadow of the moon fall on the earth in?,0
thomas Arnold was the Headmaster of,rugby school,What was thomas Arnold the Headmaster of?,0,Who was the Headmaster of rugby school?,1,Who was thomas Arnold?,0
solar eclipse is an example of,shadows,,0,,0,,0
the function of leaf is to,prepare food for plants by photosynthesis,What is to prepare food for plants by photosynthesis?,0,Is the function of leaf to prepare food for plants by photosynthesis?,0,,0
the French Revolution of 1789 put an end to the monarchical rule under,louis XVI,What put an end to the monarchical rule under louis XVI?,1,Who did the French Revolution of 1789 put an end to the monarchical rule under?,1,What did the French Revolution of 1789 put to the monarchical rule under louis XVI?,0
the revolution of moon around the earth is an example of,periodic motion,What is an example of periodic motion?,1,What is the revolution of moon around the earth?,0,What is the revolution of moon around the earth an example of?,1
bones are hollow in middle. This hollow part of bones is filled with,bone marrow,What is filled with bone marrow?,0,What are hollow in middle?,0,What are bones hollow in?,0
ashoka got his messages inscribed on,rocks and pillars,Who got his messages inscribed on rocks and pillars?,1,What did ashoka get?,0,Did ashoka get his messages inscribed on rocks and pillars?,0
the shape of an aeroplane is similar to that of,birds,What is the shape of an aeroplane similar to?,1,What is similar to that of birds?,0,Is the shape of an aeroplane similar to that of birds?,0
"in circular motion, an object moves in such a way that its distance from a fixed point remains",equal,What moves in such a way that its distance from a fixed point remains equal in circular motion?,0,What does an object move in such a way that its distance from a fixed point remains equal in?,0,What does an object move in in circular motion?,0
water can work as fire extinguisher,only when things like wood and paper are on fire,What can work as fire extinguisher only when things like wood and paper are on fire?,1,What can water work as only when things like wood and paper are on fire?,0,Can water work as fire extinguisher only when things like wood and paper are on fire?,0
telugu Desam Party (TDP) is in the   S  tate of,andhra Pardesh,What is in the S tate of andhra Pardesh?,0,Who is telugu Desam Party in?,0,Is telugu Desam Party in the S tate of andhra Pardesh?,0
plasma membrane and rigid outer layer cell wall both give,shape to the cell,,0,,0,,0
cuprous sulphide is the chemical name of,cu₂S,What is cuprous sulphide the chemical name of?,0,What is the chemical name of cuS?,1,What is cuprous sulphide?,0
two muscles have to work together to move a,bone,How many muscles have to work together to move a bone?,1,What have to work together to move a bone?,1,What do two muscles have to work together to move?,0
choose the fibres which are manufactured by petrochemicals.        I Polyester        II Rayon        III Nylon         IV Acrylic,"i, III and IV",,0,,0,,0
"the quote ""gender equality is more than a goal in itself, it is a precondition for meeting the challenge of reducing poverty, promoting sustainable development and building good governance"" , is by",kofi Annan,What is by kofi Annan?,0,,0,,0
supreme Court of India can take up any dispute   between,centre and State,What can supreme Court of India take up?,0,What can take up any dispute between center and State?,1,Can supreme Court of India take up any dispute between center and State?,0
female voice is normally,high-pitched,What is normally high-pitched?,0,Is female voice normally high-pitched?,1,,0
the official head of the State in India   is,president,Who is the official head of the State in India?,1,What is president?,1,Is the official head of the State in India president?,0
acids react with metals to produce,hydrogen gas,What react with metals to produce hydrogen gas?,1,What do acids react with to produce hydrogen gas?,1,What do acids react with metals to produce?,0
mainly pulses are the rich source of,proteins,What are mainly pulses the rich source of?,1,What are the rich source of proteins?,0,What are mainly pulses?,0
bacteria present in sewage can cause,cholera,What can bacteria present in sewage cause?,1,What can cause cholera?,1,Can bacteria present in sewage cause cholera?,0
nutrient content of chapatti mainly includes,carbohydrates,What does nutrient content of chapatti mainly include?,1,What mainly includes carbohydrates?,0,Does nutrient content of chapatti mainly include carbohydrates?,0
"the Ryotwari System, which had been tried by Alexander Read, was further developed by",thomas Munro,Who had the Ryotwari System been tried by?,0,What had been tried by Alexander Read?,0,What was further developed by thomas Munro?,0
"appar, the famous Tamil poet belonged to",vellala community,What did the famous Tamil poet belong to?,0,Who belonged to vellala community?,0,Did the famous Tamil poet belong to vellala community?,0
the wastes that can choke the drains include,"used tealeaves, cotton",Who are cotton?,0,What are tealeaves?,0,Are tealeaves cotton?,0
a violent tornado can travel at speed of about,300 km/h,What can travel at speed of about 300 km\/h?,0,When can a violent tornado travel?,0,Can a violent tornado travel at speed of about 300 km\/h?,0
clarified water is further cleaned by,aerobic bacteria,What is further cleaned by aerobic bacteria?,0,What is clarified water further cleaned by?,1,Is clarified water further cleaned by aerobic bacteria?,0
lubricating oil is one of the mixture of,petroleum,What is one of the mixture of petroleum?,1,What is lubricating oil one of?,0,What is lubricating oil?,1
mixture of sulphur and sand can be separated by using,carbon disulphide,What can be separated by using carbon disulphide?,1,Can mixture of sulphur and sand be separated by using carbon disulphide?,0,,0
the factory wastes are neutralised by adding,base,What are neutralised by adding base?,0,Are the factory wastes neutralised by adding base?,0,,0
formation of cloud is an example of,physical change which involves condensation of water vapour,What is an example of physical change which involves condensation of water vapor?,1,What is formation of cloud an example of?,1,What is formation of cloud?,0
"at a given place, the weight of an object is directly proportional to its",mass,Where is the weight of an object directly proportional to its mass?,0,What is directly proportional to its mass at a given place?,1,What is the weight of an object directly proportional to its mass at?,0
condensation is a process when,the vapours change into liquid,What is a process when the vapors change into liquid?,1,Is condensation a process when the vapors change into liquid?,0,What is condensation?,1
"the title, Muvendavelan was given by the Chola Kings to",rich landowners,What was given by the Chola Kings to rich landowners?,0,Who was the title given by the Chola Kings to?,0,What was the title given by to rich landowners?,0
aurangzeb’s farman had granted the East India Company the right to trade,duty free,Who had granted the East India Company the right to trade duty free?,1,Had aurangzeb's farman granted the East India Company the right to trade duty free?,0,,0
coal is believed to have been formed about,300 million years ago,What is believed to have been formed about 300 million years ago?,0,Is coal believed to have been formed about 300 million years ago?,0,,0
the Buddha gave his first sermon at,sarnath,Who gave his first sermon at sarnath?,1,What did the Buddha give his first sermon at?,0,What did the Buddha give at sarnath?,0
the percentage of water in an activated sludge is about,97%,What is the percentage of water in an activated sludge?,1,What is about 97 %?,0,Is the percentage of water in an activated sludge about 97 %?,0
on a rainy day one must avoid wearing clothes made of,cotton,When must one avoid wearing clothes made of cotton?,1,What must one avoid wearing on a rainy day?,1,What must avoid wearing clothes made of cotton on a rainy day?,0
a 1000 kg truck moving with a speed of 20 m/s is brought to rest within a distance of 50 m by applying brakes that provide uniform retardation,retarding force= – 4000 N,What is brought to rest within a distance of 50 m by applying brakes that provide uniform retardation retarding force = 4000 N?,0,,0,,0
"after its fall, the Mysore kingdom was placed back in the hands of the former ruling dynasty of",wodeyars,When was the Mysore kingdom placed back in the hands of the former ruling dynasty of wodeyars?,0,What was the Mysore kingdom placed back in after its fall?,0,What was placed back in the hands of the former ruling dynasty of wodeyars after its fall?,1
"in India, education to all is an important objective of",the Government,What is an important objective of the Government in India?,1,Where is education to all an important objective of the Government?,0,What is education to all an important objective of in India?,0
"in Palaeolithic Age, huts were constructed by using",wood,What were constructed by using wood in Palaeolithic Age?,0,When were huts constructed by using wood?,0,Were huts constructed by using wood in Palaeolithic Age?,1
goitre is a type of,deficiency disease,What is a type of deficiency disease?,1,What is goitre a type of?,1,What is goitre?,1
civil services is a part of,tertiary sector,What is a part of tertiary sector?,0,What is civil services a part of?,0,What is civil services?,0
"before amendment in 2005, the Hindu Succession Act, 1956, extended to the whole of India except",jammu and Kashmir,What extended to the whole of India except jammu and Kashmir before amendment in 2005?,1,What did the Hindu Succession Act extend to the whole of India except before amendment in 2005?,0,What did the Hindu Succession Act extend to the whole of India except jammu and Kashmir before?,0
most of the mass of an atom is concentrated in a small region called,nucleus,What is concentrated in a small region called nucleus?,1,Where is most of the mass of an atom concentrated?,1,What is most of the mass of an atom concentrated in?,0
the wholesale trader sells his goods to,retailers,Who does the wholesale trader sell his goods to?,1,Who sells his goods to retailers?,1,What does the wholesale trader sell to retailers?,0
the size of particles in a true solution is less than,10  -9  m,What is the size of particles in a true solution?,1,What is less than 10-9 m?,0,Is the size of particles in a true solution less than 10-9 m?,0
storms make the sea water enter coastal areas causing extensive damages to,"soil, life and property",,0,,0,,0
"amongst the biggest waterfalls in India, Shivasamudram Falls ranks",second,,0,,0,,0
"a long, large beak of bird Toucan helps it to",reach fruits on weak branches,What helps it to reach fruits on weak branches?,0,"What does a long, large beak of bird Toucan help it to reach?",1,"Does a long, large beak of bird Toucan help it to reach fruits on weak branches?",0
"rohit puts two identical blocks in two different containers. There is pure water in one container and salty water in the other. He observes that in salty water, the block sinks",less than in pure water,Who puts two identical blocks in two different containers?,0,How many identical blocks does rohit put in two different containers?,0,What does rohit put two identical blocks in?,0
stereotypes prevent us from looking at each person's,uniqueness,What prevent us from looking at each person's uniqueness?,1,Who do stereotypes prevent from looking at each person's uniqueness?,0,Do stereotypes prevent us from looking at each person's uniqueness?,0
earthquakes occur,"all the time, all over the earth",When do earthquakes occur?,0,What occur all the time?,0,Do earthquakes occur all the time?,1
a cell,or group of cells make a battery,What do a cell or group of cells make?,1,What make a battery?,1,Do a cell or group of cells make a battery?,0
energy of particles in steam at 373 K,> Energy of particles in water at 373K,,0,,0,,0
the city of Lothal stood close to Gulf of,khambat,What stood close to Gulf of khambat?,1,What did the city of Lothal stand close to?,1,Did the city of Lothal stand close to Gulf of khambat?,0
charring of sugar is an example of,both b and c,Who is an example of both b and c?,0,What is charring of sugar an example of?,1,What is charring of sugar?,0
during a short circuit,excessive current is passed through the circuit,What is passed through the circuit during a short circuit?,1,What is excessive current passed through during a short circuit?,0,What is excessive current passed through the circuit during?,0
a house lizard eats,small insects,What eats small insects?,0,What does a house lizard eat?,1,Does a house lizard eat small insects?,0
"after coming to India, Gandhi spent his first year",in travelling the country,Who spent his first year in traveling the country?,0,When did Gandhi spend in traveling the country?,0,Did Gandhi spend his first year in traveling the country?,0
the practice of agriculture began in the Indian subcontinent,8000 years ago,What began in the Indian subcontinent 8000 years ago?,0,What did the practice of agriculture begin in 8000 years ago?,0,Did the practice of agriculture begin in the Indian subcontinent 8000 years ago?,0
"in India, the Fundamental Rights can be curbed during",national emergency,Where can the Fundamental Rights be curbed during national emergency?,0,What can the Fundamental Rights be curbed during in India?,0,Who can be curbed during national emergency in India?,0
while bursting crackers it is safe to wear clothes made of,cotton,,0,,0,,0
sweating causes cooling by,evaporation,What causes cooling by evaporation?,1,What does sweating cause cooling by?,0,Does sweating cause cooling by evaporation?,0
crops in modern days are harvested and threshed with the help of machines called,combines,What are threshed with the help of machines called combines?,1,What are crops in modern days threshed with?,1,What are harvested?,0
"if a piece of fabric burns by giving the smell of charred meat, it is most likely to be made up of",silk,"If a piece of fabric burns by giving the smell of charred meat, is it most likely to be made up of silk?",0,"If a piece of fabric burns by giving the smell of charred meat, what is most likely to be made up of silk?",0,,0
"to conduct an experiment on photosynthesis, a healthy plant should be kept in dark for about 48 hours prior to the experiment. It should be done to",remove starch from the plant,What should be done to remove starch from the plant?,1,What should be kept in dark for about 48 hours prior to the experiment?,0,What should a healthy plant be kept in dark for about 48 hours prior to?,0
one of the important occupations taken up by the tribes of Middle Stone Age included,herding,What included herding?,0,Did one of the important occupations taken up by the tribes of Middle Stone Age include herding?,1,,0
cancer is one of the fatal diseases caused due to the harmful gases released during burning of,plastic,What is one of the fatal diseases caused due to the harmful gases released during burning of plastic?,1,What is cancer one of?,0,What is cancer?,1
weaving is done by,loom,What is done by loom?,1,What is weaving done by?,1,Is weaving done by loom?,0
natural fertiliser is mainly,compost,What is mainly compost?,0,Is natural fertiliser mainly compost?,0,,0
