Objective Question,Answer,Subjective Question #1,Label 1,Subjective Question #2,Label 2,Subjective Question #3,Label 3
"to search for targets and threats in the surrounding sea and air, submarines make use of",periscopes,What do submarines use to search for targets and threats?,1,What do submarines use to look for targets and threats?,,What do submarines use to search for targets?,1
the Indian constitution guarantees “Right to life” under,article 21,What article of the Indian constitution guarantees right to life?,1,What article of the Indian constitution guarantees the right to life?,,What article of the Indian Constitution guarantees right to life?,
a high-pitched sound has,a high frequency,What kind of sound has a high frequency?,1,What type of sound has a high frequency?,,What is a high frequency sound?,1
a rocket has a special streamlined body so as to,reduce air friction,Why is a rocket's body streamlined?,1,What is the purpose of a rocket's body?,0,What is the purpose of a rocket's streamlined body?,1
secretion of large amount of acid in the stomach causes indigestion. It can be relieved by taking,magnesium hydroxide,What substance can be used to relieve indigestion?,1,What substance can help relieve indigestion?,0,What substance can be used to relieve indigestion in the body?,1
people in the Ladakh region domesticate sheep to produce,pashmina wool,What type of wool is produced in the Ladakh region?,1,What do people in the Ladakh region produce from sheep?,1,What type of wool is produced in Ladakh?,0
ingredients of a chapatti include,"wheat flour, salt and water",What are the main ingredients of a chapatti?,1,What are the basic ingredients of a chapatti?,,What are the ingredients of a chapatti?,
a cardboard piece is an example of a/an,opaque object,What is an example of an opaque object?,1,What is an example of a/an opaque object?,,What type of object is a cardboard piece?,1
cell was first discovered by,robert Hooke,Howcell was first?,0,,0,,0
many birds from various countries migrate to India due to suitable climatic conditions. The migration is usually associated with,winter,What season do birds migrate to India?,1,In what season do birds migrate to India?,,What season is the migration associated with?,0
"in Southern India, the British observed that there was a lack of the traditional",zamindari,What did the British call the traditional zamindari?,0,What did the British call the traditional Indian medicine?,0,What did the British call the traditional way of life?,0
mark the correct initiative that can be taken by the government for maintaining the clean environment,fine those who pollute the environment,What can the government do to those who pollute the environment?,1,What can be done to those who pollute the environment?,1,What does the government do to those who pollute the environment?,
bethlehem is the birth place of,jesus Christ,Who was born in bethlehem?,0,Who is born in bethlehem?,,What is the birthplace of Jesus?,1
the sponge has a,larger volume than the gold,Does the sponge have a larger or smaller volume than gold?,0,Does the sponge have a larger or smaller volume?,0,Is the sponge larger or smaller than gold?,0
a car slips on a wet road because the friction,decreases,What happens to friction when a car slips on wet roads?,0,What happens to friction when a car slips on wet road?,,Does friction increase or decrease when a car slips on wet roads?,0
images of organ inside the body can be formed by the use of,ultrasonics,What can be used to create images of organs inside the body?,1,What can be used to form images of organs inside the body?,,What can be used to create images of organs inside a body?,
"in solar eclipse,",the shadow of the moon falls on the earth,What happens during a solar eclipse?,1,What happens in a solar eclipse?,,What happens to the earth during a solar eclipse?,1
thomas Arnold was the Headmaster of,rugby school,What was Arnold the Headmaster of?,1,What was Arnold the headmaster of?,,What type of school did Arnold head?,1
solar eclipse is an example of,shadows,What is an example of a solar eclipse?,0,What is a solar eclipse an example of?,1,What is a solar eclipse?,0
the function of leaf is to,prepare food for plants by photosynthesis,What is the function of a leaf?,1,What is the purpose of a leaf?,,What is the function of leaf?,
the French Revolution of 1789 put an end to the monarchical rule under,louis XVI,Who was the ruler of France in 1789?,1,Who was the leader of France in 1789?,,Who led the French Revolution of 1789?,0
the revolution of moon around the earth is an example of,periodic motion,What is an example of a periodic motion?,1,What is a periodic motion?,0,What is a periodic motion of the moon?,0
bones are hollow in middle. This hollow part of bones is filled with,bone marrow,What part of bones is filled with bone marrow?,1,What is filled with bone marrow?,1,What part of a bone is filled with marrow?,
ashoka got his messages inscribed on,rocks and pillars,Where did ashoka get his messages inscribed on?,1,What objects did ashoka get his messages inscribed on?,1,Where did ashoka get his messages written on?,
the shape of an aeroplane is similar to that of,birds,What bird's shape is similar to an aeroplane?,0,What is the shape of an aeroplane similar to?,1,The shape of an airplane is similar to that of what other animal?,0
"in circular motion, an object moves in such a way that its distance from a fixed point remains",equal,Is the distance from a fixed point constant or equal?,0,Is the distance from a fixed point equal or equal?,0,Is the distance between an object and a fixed point equal or equal?,0
water can work as fire extinguisher,only when things like wood and paper are on fire,When can water be used as a fire extinguisher?,1,When does water work as a fire extinguisher?,1,When can water be used as an extinguisher?,
telugu Desam Party (TDP) is in the   S  tate of,andhra Pardesh,What state is the TDP in?,0,What state is Telugu Desam Party in?,1,What state is TDP in?,
plasma membrane and rigid outer layer cell wall both give,shape to the cell,What shape does the outer layer of a cell wall give?,0,What shape does the outer layer of the cell wall give?,0,What does the outer layer of a cell wall give?,
cuprous sulphide is the chemical name of,cu₂S,What is the chemical name of cu2S?,1,What is the chemical name for cu2S?,,What is cu2S?,0
two muscles have to work together to move a,bone,What part of the body is moved by a muscle?,0,What part of a body has to be moved by two muscles?,1,What part of a body is moved by two muscles?,
choose the fibres which are manufactured by petrochemicals.        I Polyester        II Rayon        III Nylon         IV Acrylic,"i, III and IV",Which fibres are manufactured by petrochemicals?,1,Which fibers are manufactured by petrochemicals?,,Which fibres are produced by petrochemicals?,
"the quote ""gender equality is more than a goal in itself, it is a precondition for meeting the challenge of reducing poverty, promoting sustainable development and building good governance"" , is by",kofi Annan,"Howthe quote `` gender equality is more than a goal in itself , it is a precondition for meeting the challenge of reducing poverty , promoting sustainable development and building good governance `` ,?",0,,0,,0
supreme Court of India can take up any dispute   between,centre and State,The supreme court of India can take up any dispute between what two states?,0,The supreme court of India can take up any dispute between which two states?,,The supreme court of India can take up disputes between what two states?,
female voice is normally,high-pitched,What is a typical female voice?,1,What type of voice does a female voice typically have?,0,What type of voice does a female voice normally have?,
the official head of the State in India   is,president,What is the official head of the State in India?,0,,0,,0
acids react with metals to produce,hydrogen gas,What is produced when acids react with metals?,1,What is produced when metals react with acids?,1,What is produced when acids react with metals to produce?,0
mainly pulses are the rich source of,proteins,Pulses are the rich source of what?,1,Pulses are a rich source of what?,,What is the rich source of protein?,1
bacteria present in sewage can cause,cholera,What can bacteria present in sewage cause?,1,What bacteria can cause cholera?,0,What bacteria can cause cholera in sewage?,0
nutrient content of chapatti mainly includes,carbohydrates,What is the main nutrient content of chapatti?,1,What type of carbohydrates are present in chapatti?,0,What type of nutrient is present in chapatti?,1
"the Ryotwari System, which had been tried by Alexander Read, was further developed by",thomas Munro,"Howthe Ryotwari System , which had been tried by Alexander Read , was further?",0,,0,,0
"appar, the famous Tamil poet belonged to",vellala community,What community did appar belong to?,0,What Tamil community did appar belong to?,1,What community was appar a part of?,0
the wastes that can choke the drains include,"used tealeaves, cotton",What kind of wastes can choke the drains?,1,What type of wastes can choke the drains?,,What is one type of waste that can choke the drains?,1
a violent tornado can travel at speed of about,300 km/h,What is the speed of a tornado?,1,How fast can a tornado travel?,1,What is the speed a tornado can travel?,0
clarified water is further cleaned by,aerobic bacteria,Howclarified water is further?,0,,0,,0
lubricating oil is one of the mixture of,petroleum,Lubricating oil is one of the mixtures of what?,1,What is lubricating oil a part of?,0,Lubricating oil is a mixture of what?,
mixture of sulphur and sand can be separated by using,carbon disulphide,What is the name of the chemical that separates sand from sulfur?,1,What is used to separate the sand from the mixture?,0,What is the name of the chemical that separates the sand from the mixture?,0
the factory wastes are neutralised by adding,base,What is added to the factory wastes to neutralise them?,1,What type of base is added to the factory waste?,0,What type of base is added to the factory wastes?,0
formation of cloud is an example of,physical change which involves condensation of water vapour,What is formation of cloud an example of?,1,What is a physical change?,0,What is a change in nature?,0
"at a given place, the weight of an object is directly proportional to its",mass,The weight of an object is directly proportional to its what?,1,"At a given place, what is the weight of an object directly proportional to?",1,"At a given place, what is proportional to the weight of an object?",
condensation is a process when,the vapours change into liquid,What happens when vapours change into liquid?,0,What happens when the vapours change into liquid?,,What happens to the vapours in condensation?,1
"the title, Muvendavelan was given by the Chola Kings to",rich landowners,Who were the Chola Kings?,0,Who were the Chola kings?,0,What type of landowners were the Chola Kings?,0
aurangzeb’s farman had granted the East India Company the right to trade,duty free,How did the East India Company trade?,0,How did the EIC trade?,0,How did the East India Company get to trade?,
coal is believed to have been formed about,300 million years ago,How long ago was coal formed?,1,How many million years ago was coal formed?,1,How long ago did coal form?,
the Buddha gave his first sermon at,sarnath,Where the Buddha gave his first sermon?,1,,0,,0
the percentage of water in an activated sludge is about,97%,What percentage of water is in activated sludge?,1,What is the percentage of water in activated sludge?,,What percentage of water is found in activated sludge?,
on a rainy day one must avoid wearing clothes made of,cotton,"On a rainy day, what material must one avoid wearing?",1,"On a rainy day, what material should one avoid wearing?",,"On a rainy day, what type of clothing must you wear?",0
a 1000 kg truck moving with a speed of 20 m/s is brought to rest within a distance of 50 m by applying brakes that provide uniform retardation,retarding force= – 4000 N,What is the brake force of a 1000 kg truck?,0,How much force does the brakes provide?,0,What is the uniform force of the brakes?,0
"after its fall, the Mysore kingdom was placed back in the hands of the former ruling dynasty of",wodeyars,What dynasty ruled Mysore?,0,What dynasty ruled the kingdom of Mysore?,0,Whose dynasty ruled Mysore?,0
"in India, education to all is an important objective of",the Government,Who is responsible for education in India?,1,Who in India is responsible for education?,1,Who is responsible for providing education to all?,0
"in Palaeolithic Age, huts were constructed by using",wood,What was used to build huts in the Palaeolithic Age?,1,What was used to build huts in the Paleolithic Age?,,What was used to build huts?,0
goitre is a type of,deficiency disease,What is goitre?,1,What is a type of goitre?,0,Goitre is a type of what?,1
civil services is a part of,tertiary sector,What sector is civil services a part of?,1,What sector is civil service a part of?,,What sector does civil services belong to?,
"before amendment in 2005, the Hindu Succession Act, 1956, extended to the whole of India except",jammu and Kashmir,What two states were exempt from the Hindu Succession Act?,1,What two areas were exempt from the Hindu Succession Act?,1,What two areas were excluded from the Hindu Succession Act?,
most of the mass of an atom is concentrated in a small region called,nucleus,Where is most of the mass of an atom concentrated?,1,What is the nucleus called?,0,The nucleus is also known as what?,0
the wholesale trader sells his goods to,retailers,Who else sells his goods to?,0,Who sells his goods to?,0,Who does the wholesaler sell his goods to?,1
the size of particles in a true solution is less than,10  -9  m,What is the size of particles in a true solution?,1,What is the size of particles in a solution?,,What is the true size of particles in a solution?,0
storms make the sea water enter coastal areas causing extensive damages to,"soil, life and property",What do storms cause extensive damage to?,1,What do storms cause damage to?,,What types of damage do storms cause?,1
"amongst the biggest waterfalls in India, Shivasamudram Falls ranks",second,Where does Shivasamudram Falls rank among the biggest waterfalls in India?,1,Where does Shivasamudram Falls rank among the largest waterfalls in India?,,Where does Shivasamudram Falls rank?,0
"a long, large beak of bird Toucan helps it to",reach fruits on weak branches,What do Toucans do?,0,What does the Toucan do?,,What do Toucans do to reach fruit?,1
"rohit puts two identical blocks in two different containers. There is pure water in one container and salty water in the other. He observes that in salty water, the block sinks",less than in pure water,Does the block sink more or less in salty water?,0,How much does the block sink in salty water?,0,How much does salty water sink in rohit's experiment?,0
stereotypes prevent us from looking at each person's,uniqueness,What do stereotypes prevent us from looking at?,1,What is one thing that prevents us from looking at each person?,0,What characteristic of a person prevents us from looking at them individually?,0
earthquakes occur,"all the time, all over the earth",When do earthquakes occur?,0,How often do earthquakes occur?,0,Where do earthquakes occur?,1
a cell,or group of cells make a battery,What is a battery?,1,What is a cell?,0,What is a battery made of?,1
energy of particles in steam at 373 K,> Energy of particles in water at 373K,What is the energy of particles in steam?,0,What is the energy of particles in water?,0,How much energy does steam have?,0
the city of Lothal stood close to Gulf of,khambat,What city was close to the Gulf of Mexico?,0,What city was close to the Gulf of Suez?,0,What city was near the Gulf of Mexico?,0
charring of sugar is an example of,both b and c,What are two examples of charring of sugar?,0,What are two examples of charring sugar?,,What are two examples of sugar charring?,
during a short circuit,excessive current is passed through the circuit,What happens when excessive current is passed through the circuit?,1,What happens when excessive current is passed through a circuit?,,What happens when excessive current is passed through a short circuit?,0
a house lizard eats,small insects,What does a house lizard eat?,1,What do house lizards eat?,,What does the house lizard eat?,
"after coming to India, Gandhi spent his first year",in travelling the country,How did Gandhi spend his first year in India?,1,What was Gandhi's first year in India?,0,How did Gandhi spend his first year?,0
the practice of agriculture began in the Indian subcontinent,8000 years ago,How long ago did agriculture begin in the Indian subcontinent?,1,How long ago did agriculture begin in India?,,How many years ago did agriculture begin in India?,1
"in India, the Fundamental Rights can be curbed during",national emergency,What type of emergency is there in India?,0,What is an example of a national emergency?,0,What is an example of a state of emergency?,0
while bursting crackers it is safe to wear clothes made of,cotton,What material is safe to wear during crackers?,1,What material is safe to wear for crackers?,0,What material is safe to wear on crackers?,
sweating causes cooling by,evaporation,Howsweating causes?,0,,0,,0
crops in modern days are harvested and threshed with the help of machines called,combines,What type of machines are used to harvest and threat crops?,0,What kind of machines are used to harvest and threat crops?,0,What type of machines are used to harvest and threshed crops?,1
"if a piece of fabric burns by giving the smell of charred meat, it is most likely to be made up of",silk,What type of fabric is most likely to be made up of charred meat?,0,What material is most likely to be made up of a piece of what?,0,"If a piece of what material burns, it is most likely to be made of?",0
"to conduct an experiment on photosynthesis, a healthy plant should be kept in dark for about 48 hours prior to the experiment. It should be done to",remove starch from the plant,What should be done to the plant before the experiment?,0,What should a plant do to prevent starch from entering the plant?,0,What should be done to a healthy plant before the experiment?,0
one of the important occupations taken up by the tribes of Middle Stone Age included,herding,What occupation did the tribes of the Middle Stone Age take up?,1,What was one of the occupations taken up by the tribes of Middle Stone Age?,1,What occupation did the tribes of the Middle Stone Age engage in?,
cancer is one of the fatal diseases caused due to the harmful gases released during burning of,plastic,What material is burned to cause cancer?,1,What type of material is burned to cause cancer?,1,What kind of material is burned to cause cancer?,
weaving is done by,loom,Howweaving is?,0,,0,,0
natural fertiliser is mainly,compost,What is the most common type of natural fertiliser?,0,What is a natural fertiliser made of?,1,What is a natural fertiliser made up of?,
"in United Kingdom and United States, right to vote was given initially to",wealthy people,Who first had the right to vote?,0,Who first had the right to vote in the UK?,1,Who was first given the right to vote?,0
the period between 1830 to 1857 was considered as Delhi,renaissance,What was the name of the renaissance in Delhi?,0,What is the term for the renaissance in Delhi?,0,What was the renaissance called in Delhi?,0
man-made fibres include   i. Nylon   ii. Polyester    iii. Acrylic    iv. Jute   Select the correct answer using the code given below,"i, ii and iii only",What are the names of the three man-made fibres?,1,What are the three coded fibres?,0,Which three codes are used to select the correct fibre?,0
mixed cropping is growing,two or more crops simultaneously on the same piece of land in a haphazard manner,What is mixed cropping?,1,What is it called when you grow two or more crops on the same land?,1,What is it called when two or more crops are growing on the same land?,
yeasts are used to make wine and beer because they,produce alcohol,What do yeasts do?,0,What are yeasts used to do?,,What do yeasts do for wine?,0
frequency is inversely proportional to,time period,What is frequency inversely proportional to?,1,What is inversely proportional to frequency?,1,What is frequency proportional to?,
anganwadi system has been functioning in India since,1975,In what year did the anganwadi system begin in India?,1,What year did the anganwadi system begin in India?,,When did the anganwadi system begin in India?,1
rain forest type of vegetation is part of,assam,What type of vegetation is a part of the rain forest?,0,What type of vegetation is part of the rain forest?,,What type of vegetation is a part of rain forest?,
curdling of milk is an example of,irreversible change,What is curdling of milk an example of?,0,What is the result of curdling of milk?,0,What is curdling of milk?,0
march-past of soldiers in a parade is a kind of,rectilinear motion,What kind of motion is a march-past of soldiers?,1,What is a rectilinear motion?,0,What type of motion is a march-past of soldiers?,
a simple pendulum consists of,small metallic ball suspended from a rigid stand by a flexible string,What is a pendulum?,0,What is a pendulum made of?,0,What does a pendulum consist of?,1
a human ear can hear sounds of frequency,20 to 20 kHz,What frequencies can a human ear hear?,1,A human ear can hear sounds of what frequencies?,1,What frequency range can a human ear hear?,
moon always presents same face towards the Earth because it,takes exactly the same time to spin once about its axis,Why does the moon always present the same face towards Earth?,1,Does the moon spin exactly the same amount of time?,0,Why does the moon always present the same face toward Earth?,
"in the buildings, in an earthquake prone region,",the cupboards and shelves should be attached to the walls,What should the cupboards and shelves be attached to?,0,What should the shelves and cupboards be attached to?,0,What should the cabinets and shelves be attached to?,0
the ideas of the Upanishads were later developed by the famous thinker,shankaracharya,Who developed the ideas of the Upanishads?,1,Who developed the Upanishad ideas?,1,Who developed the Upanishads?,0
papier-mache is paste made by mixing paper with,clay,What material is used to make papier-mache?,1,What material is papier-mache made of?,,What material is papier-mache made from?,
the effect of evaporation on surrounding,makes the surrounding cold,What effect does evaporation have on the surrounding?,1,What does evaporation do to the surrounding?,1,Does evaporation make the surrounding cold?,0
the process of combustion produces,heat and light,What does combustion produce?,1,What two things does combustion produce?,1,What is produced by combustion?,
weather at a place is the day to day condition of atmosphere with respect to,"wind, humidity, rainfall and temperature",What are some of the characteristics of weather in a place?,1,What are some of the weather conditions in a place?,0,What are some of the characteristics of weather at a place?,
the Great Wall of China was constructed,before the Mauryan Empire,When was the Great Wall of China constructed?,0,When was the Great Wall of China built?,,When was the Great Wall constructed?,
findings at Mehrgarh included remains of 4 or more compartmented houses in the shape of a,square,What shape were the remains of Mehrgarh's houses?,1,In what shape were the remains of Mehrgarh's houses?,1,What shape was the remains of Mehrgarh's houses?,
rate of diffusion will be fastest when,oxygen is passed in hydrogen,What happens when oxygen passes in hydrogen?,0,How is oxygen passed in hydrogen?,0,What happens when oxygen passes through hydrogen?,0
maldives is situated to the south of,lakshadweep Islands,Where are the maldives located?,1,What islands are located to the south of the Maldives?,0,What islands are located to the south of the maldives?,
the word ‘Hind’ was first used by a famous poet named,amir Khusrau,Who first used the word 'Hind'?,1,Who was the first poet to use the word Hind?,1,Who first used the word Hind?,0
the President of India is elected for a term of,5 years,How long is the term of the President of India?,1,How long is the term for the President of India?,,How long is the term of the president of India?,
lactic-acid is produced as a by-product during,anaerobic respiration,During what process is lactic acid produced?,1,What type of respiration produces lactic acid?,1,What is anaerobic respiration?,0
the given image is showing a deficiency symptom caused due to the deficiency of,vitamin C,What vitamin is deficiency symptomatic?,0,What vitamin causes the deficiency symptom?,0,What vitamin is deficient in?,0
amoeba takes food through,pseudopodia,Amoeba takes food through what?,1,Amoeba takes food through what method?,0,What is the term for a podia?,0
"two groups of sclerenchyma cells exist namely, fibres and",sclereids,What are the fibres and the sclereids?,0,What are the fibres of sclereids called?,0,What are fibres called?,0
three kilometres is equal to,3 000 metres,How many meters is equal to?,0,How many kilometers is equal to?,0,How many meters is equal?,0
the Right to Water in the Constitution implies,universal access to water,What does the right to water in the Constitution mean?,1,What does the Constitution call universal access to water?,0,What does the Right to Water in the Constitution mean?,
sound is produced when objects,vibrate,What does sound do when objects vibrate?,0,What does sound produce when objects vibrate?,0,What does sound produce when objects?,
"impressed by the architecture of the adjoining sultanates, Vijayanagara rulers adopted the construction of",elephant stables,What did the Vijayanagara rulers construct?,0,What did the Vijayanagara rulers build?,,What type of structures did the Vijayanagara rulers construct?,0
negative value of  rate of change of velocity of an object signifies,the velocity is decreasing,What does a negative value of rate of change of velocity of an object mean?,1,What does a negative value of rate of change of velocity mean?,,What is a negative value of rate of change of velocity of an object?,0
pathogens can enter our body through,"air, water and food",Pathogens can enter our body through what three sources?,1,Pathogens can enter through what three sources?,,Pathogens can enter our body through what?,
light can pass through a,straight hollow pipe,What type of pipe can light pass through?,1,What kind of pipe is a light passing through?,0,Light can pass through what type of pipe?,1
"to find the north pole of a bar magnet, we",suspend it freely with the help of a thread,How do we find the north pole of a bar magnet?,1,How do you find the north pole of a bar magnet?,,How can you find the north pole of a bar magnet?,
the coal deposits in Ruhr region is an example of,actual resource,The coal deposits in Ruhr region are an example of what?,0,What type of resource is the coal deposits in Ruhr region?,1,The coal deposits in Ruhr region is an example of what?,
we can see partially through,a translucent object,What can we see partially through?,0,What is a transparent object?,0,What is a translucent object?,1
primary health center deals with,health education,What does a primary health center deal with?,1,What does the primary health center deal with?,,What does a primary health center focus on?,1
"in order to detect the direction, navigators use a",magnetic compass,What type of compass do navigators use?,1,What kind of compass do navigators use?,,What type of compass are navigators using?,
privatisation of health services had made it difficult for poor people to get good,health care,Privatisation of what made it difficult for poor people to get good services?,0,Privatisation of what service made it difficult for poor people to get good services?,,Privatisation of what made it difficult for poor people to get good?,0
scraping the bark off trees by early man was done by,stone tools,Howscraping the bark off trees by early man was?,1,,0,,0
vedic age refers to the period of,aryans,What term refers to the period of vedic age?,0,Vedic age refers to the period of what?,1,What is the term for the period of vedic age?,0
ebony is found in the areas of rainfall,more than 200 cm,How much rainfall does ebony get?,0,How much rain does ebony get?,,How much rainfall does ebony receive?,0
akbar designed his administration on the model laid down by the ruler,sher Shah Sur,Who was Shah Sur's ruler?,0,Who was Shah Sur?,0,Who was the ruler of Pakistan?,0
safety measures taken by the authorities to minimise the damage by cyclones in coastal areas include,"cyclone forecast and warning service with rapid communication of warnings,   arrangements to move people fast to safer place and   construction of cyclone shelters in cyclone prone areas",What is one of the measures taken by the authorities to minimise the damage caused by cyclones?,1,What is one of the safety measures taken by the authorities to minimise the damage caused by cyclones?,,What is one of the safety measures taken by the authorities to minimize the damage caused by cyclones?,
the leaves of thorny bushes grow in the form of,spines,What shape do the leaves of thorny bushes have?,1,What shape do leaves of thorny bushes have?,,What shape do the leaves of thorny bushes' leaves have?,0
a magnet remains unaffected in the presence of,a glass strip,What remains unaffected in the presence of a magnet?,0,What remains unaffected when a magnet is present?,0,"In the presence of magnets, what remains unaffected?",0
"two years after the Kalinga war, Ashoka",inscribed his message on the Sarnath pillar,What did Ashoka do for the Sarnath pillar?,0,What did Ashoka do after the Kalinga war?,0,What did Ashoka do to commemorate his message?,0
female  Aedes  mosquito carries,dengue virus,What virus does the female Aedes mosquito carry?,1,What type of virus does Aedes carry?,0,What virus does Aedes carry?,
the administration of the Mauryan Empire was known from the book,arthashastra,The administration of the Mauryan Empire was known from what book?,1,The administration of the Mauryan Empire was known from which book?,,What is the name of the book that describes the Mauryan Empire?,1
our constitution ensures Universal Adult Franchise to all its,citizens,Who is guaranteed the Universal Adult Franchise?,1,Who is guaranteed Universal Adult Franchise?,,Who has the right to the Universal Adult Franchise?,1
the photosynthetic organ of a plant is its,leaf,What is the photosynthetic organ of a plant?,1,What is the photosynthesis organ of a plant?,,What is the photosynthetic organ of a leaf?,0
"the term cell was coined by Robert Hooke, when he was examining under the microscope the slice of",cork,What type of wood did Hooke examine under the microscope?,0,What type of wood did Robert Hooke examine?,0,What type of wood was a cell?,0
the water vapour in the atmosphere converts into water by,condensation process,Howthe water vapour in the atmosphere converts into?,0,,0,,0
a judge of the Supreme Court can be removed through the process of,impeachment,What is the process of removing a judge of the Supreme Court called?,1,What is the process of removing a judge from the Supreme Court called?,,What is the process called that removes a judge from the Supreme Court?,1
mangal Pandey attacked his officer in the cantonment of,barrackpore,Where did Pandey attack his officer?,1,Where was Pandey's officer located?,0,Where was Pandey's officer?,
the Baiga tribe belonged to,central India,Where was the Baiga tribe located?,1,Where was the Baiga tribe based?,,Where was the Baiga tribe from?,1
the vegetation in the mountains varies with altitude. The coniferous trees are found at the altitude of,"1,500 m - 2,500 m",What is the range of altitudes in the mountains?,0,What is the altitude range of the mountains?,0,What is the range of altitude of the mountains?,0
frictional force acts in the direction,opposite to the direction of motion,What direction does frictional force act in?,1,In what direction does frictional force act?,1,In which direction does frictional force act?,
desert plants have scale/spine-like leaves to,reduce the loss of water by transpiration,What do desert plants do to reduce water loss?,0,Why do desert plants have scale-like leaves?,1,What do desert plants do to the environment?,0
our body is a ............... of electricity,conductor,What is a conductor of electricity?,0,What is a conductor?,0,What type of conductor is our body?,0
jupiter's red spot is actually a/an,big storm,What storm is jupiter's red spot?,0,What is the name of the storm?,0,What is the name of the storm that caused the red spot?,0
all of the given are milk product except,chapati,What is a milk product?,0,What is the name of the other milk product?,0,What is the only other milk product?,0
the Prime Minister and the Council of Ministers work on the principle of,collective responsibility,What principle does the Prime Minister and the Council of Ministers work on?,1,What principle does the Prime Minister and Council of Ministers work on?,,What is the principle of collective responsibility?,0
right to Water is a part of,right to Life,What is a part of the right to Water?,0,What is a part of right to Water?,,What is a part of the right to water?,
"in an electric torch, switch has a metal strip which can",slide to break or complete the circuit,What does a metal strip do in an electric torch?,1,What is the purpose of a metal strip in an electric torch?,1,What is the purpose of a metal strip on an electric torch?,
a protective diet must include,vitamins and minerals,What must a protective diet include?,1,What must a diet include?,0,What must a healthy diet include?,0
the filament of an electric bulb is made up of,thin conducting wire,What is the filament of an electric bulb made up of?,1,What is the filament of an electric bulb made of?,,What is the filament of a bulb made up of?,
most of the beads that were found in Harappa were made of,carnelian,What material were most of the beads found in Harappa made of?,1,What material were most of the beads found in Harappa made out of?,,What material were most of the beads found in Harappa?,
battery is having,two or more cells connected in such a way that the positive terminal of one cell is connected to the negative terminal of the next,How are cells connected?,0,How are the cells connected?,0,What is a battery having?,0
the wool fibre is straightened by the method called,combing,What is the process called that straightens wool fibres?,1,What method is used to straighten wool fibres?,1,What method straightens wool fibres?,
acid rain is caused due to the oxides of,nitrogen and sulphur,What two gases cause acid rain?,1,What are the oxides of acid rain?,1,What gases cause acid rain?,
bats and dolphins can hear sounds of frequency,"upto 1,200 Hz and 1,500 Hz respectively",What frequencies can bats hear?,1,How high can a bat hear?,1,How high can a bat hear sounds?,0
electric fuse contains wire that,can melt only on passage of electric current of high voltage,Can melt only on passage of electric current?,0,Does the wire melt?,0,Can a fuse melt?,0
